RD,D,L,t,H,M,y,rot
[%],[m],[m],[m],[kN],[kN.m],[m],[deg]
30%,10,20,0.091,35.2864151,2117.184906,0.00039422,0.001793444
30%,10,20,0.091,52.55143738,3153.086243,0.000593261,0.002692473
30%,10,20,0.091,69.57985687,4174.791412,0.000793563,0.003592908
30%,10,20,0.091,86.38305664,5182.983398,0.000995039,0.00449466
30%,10,20,0.091,102.9757614,6178.545685,0.001197604,0.005397629
30%,10,20,0.091,119.3432846,7160.597076,0.001401311,0.006301891
30%,10,20,0.091,135.4806061,8128.836365,0.00160615,0.007207465
30%,10,20,0.091,151.4147339,9084.884033,0.001811979,0.008114194
30%,10,20,0.091,182.7807465,10966.84479,0.002226241,0.009930536
30%,10,20,0.091,243.2809296,14596.85577,0.003065876,0.013576201
30%,10,20,0.091,300.0495911,18002.97546,0.003923778,0.017243355
30%,10,20,0.091,354.5951233,21275.7074,0.004791655,0.020923787
30%,10,20,0.091,406.9731445,24418.38867,0.005669168,0.02461716
30%,10,20,0.091,456.7468567,27404.8114,0.006558416,0.02832555
30%,10,20,0.091,504.6340027,30278.04016,0.007455863,0.03204499
30%,10,20,0.091,550.5738525,33034.43115,0.008361846,0.035775571
30%,10,20,0.091,594.793335,35687.6001,0.009275301,0.039516006
30%,10,20,0.091,637.3885498,38243.31299,0.010195723,0.043265768
30%,10,20,0.091,678.5291138,40711.74683,0.011122385,0.047023905
30%,10,20,0.091,718.335144,43100.10864,0.012054653,0.050789714
30%,10,20,0.091,756.8050537,45408.30322,0.012992637,0.054563104
30%,10,20,0.091,794.2368774,47654.21265,0.01393479,0.058342701
30%,10,20,0.091,830.5778809,49834.67285,0.014881607,0.062128553
30%,10,20,0.091,866.0217285,51961.30371,0.015832002,0.065919826
30%,10,20,0.091,900.5623779,54033.74268,0.01678619,0.069716381
30%,10,20,0.091,934.2276001,56053.65601,0.017743986,0.07351812
30%,10,20,0.091,967.0830688,58024.98413,0.018705187,0.077324597
30%,10,20,0.091,968.6553713,58119.32228,0.018755659,0.077523646
30%,10,20,0.091,1118.957397,67137.44385,0.023385937,0.095810219
30%,10,20,0.091,1373.884644,82433.07861,0.0328435,0.132644326
30%,10,20,0.091,1792.567749,107554.0649,0.052057136,0.206927568
30%,10,20,0.091,2414.695068,144881.7041,0.091114368,0.357068329
30%,10,20,0.091,3221.293701,193277.6221,0.169829234,0.661104412
30%,10,20,0.091,3824.35791,229461.4746,0.248191543,0.967472382
30%,10,20,0.091,4307.128906,258427.7344,0.326233044,1.275260434
30%,10,20,0.091,4706.502441,282390.1465,0.403992489,1.584073627
30%,10,20,0.091,5048.131348,302887.8809,0.481479913,1.893619402
30%,10,20,0.091,5343.799316,320627.959,0.558793455,2.203693338
30%,10,20,0.091,5603.477539,336208.6523,0.635961294,2.51412705
30%,10,20,0.091,5835.71875,350143.125,0.713045567,2.824769483
30%,10,20,0.091,6044.952148,362697.1289,0.79008612,3.135520065
30%,10,20,0.091,6237.220215,374233.2129,0.867097259,3.446286359
30%,10,20,0.091,6414.76123,384885.6738,0.944038898,3.75706162
30%,10,20,0.091,6578.010254,394680.6152,1.020937502,4.067792177
30%,10,20,0.091,6727.236816,403634.209,1.097815871,4.3784423
30%,10,20,0.091,6867.237305,412034.2383,1.174685121,4.688935974
30%,10,20,0.091,6996.046875,419762.8125,1.251560867,4.999264365
30%,10,20,0.091,7117.31543,427038.9258,1.328455448,5.309356874
30%,10,20,0.091,7230.424316,433825.459,1.405339658,5.619232477
30%,10,20,0.091,7336.851074,440211.0645,1.482219696,5.928841153
30%,10,20,0.091,7438.755859,446325.3516,1.559119761,6.238130412
30%,10,20,0.091,7534.806152,452088.3691,1.635991991,6.547131453
30%,10,20,0.091,7626.061523,457563.6914,1.712858796,6.855803137
30%,10,20,0.091,7712.536621,462752.1973,1.789737701,7.164121871
30%,10,20,0.091,7796.026855,467761.6113,1.866600156,7.472058673
30%,10,20,0.091,7876.006836,472560.4102,1.943474174,7.779586433
30%,10,20,0.091,7952.950684,477177.041,2.02037698,8.0866615
30%,10,20,0.091,8020.679731,481240.7838,2.091394995,8.369852546
